0.	115	0.
298.8	115	0.001127396
900	115	0.001578354
1800	115	0.002254791
2700	115	0.00270575
3600	115	0.002931229
7200	115	0.004509583
10800	115	0.005636979
14400	115	0.006764374
18000	115	0.00789177
21600	115	0.008342728
25200	115	0.009695603
28800	115	0.010146561
32400	115	0.011273957
36000	115	0.012401353
39600	115	0.012852311
43200	115	0.014656144
46800	115	0.015107103
50400	115	0.01578354
54000	115	0.016910936
57600	115	0.017361894
61200	115	0.018714769
64800	115	0.019165727
68400	115	0.020293123
72000	115	0.021420519
90000	115	0.02638106
108000	115	0.032694476
126000	115	0.038556933
144000	115	0.045772266
162000	115	0.052987599
180000	115	0.062006764
198000	115	0.072153326
216000	115	0.083427283
234000	115	0.098083427
252000	115	0.114994363
270000	115	0.136414882
288000	115	0.163472379
291600	115	0.170236753
295200	115	0.177001127
298800	115	0.184892897
302400	115	0.192784667
306000	115	0.201803833
309600	115	0.211950395
313200	115	0.222547914
316800	115	0.235174746
320400	115	0.248027057
324000	115	0.263810598
325800	115	0.269
327600	115	0.281848929
329400	115	0.29199549
331200	115	0.304396843
332640	115	0.315
334800	115	0.334385569
336600	115	0.354678692
338400	115	0.384441939
339264	115	0.540022548
