#INST  CMOD   FORCE   
0.000000E+00          0.000000E+00              0.000000E+00 
1.000000E-03          3.489080E-03              1.429744E+02 
2.000000E-03          6.978328E-03              2.858668E+02 
3.000000E-03          1.046768E-02              4.287095E+02 
4.000000E-03          1.395714E-02              5.715701E+02 
5.000000E-03          1.744711E-02              7.142545E+02 
6.000000E-03          2.093805E-02              8.567961E+02 
7.000000E-03          2.442990E-02              9.991244E+02 
8.000000E-03          2.792289E-02              1.141182E+03 
9.000000E-03          3.141695E-02              1.282985E+03 
1.000000E-02          3.491211E-02              1.424521E+03 
1.100000E-02          3.840848E-02              1.565767E+03 
1.200000E-02          4.190586E-02              1.706775E+03 
1.300000E-02          4.540440E-02              1.847501E+03 
1.400000E-02          4.890419E-02              1.987923E+03 
1.500000E-02          5.240492E-02              2.128124E+03 
1.600000E-02          5.590693E-02              2.268012E+03 
1.700000E-02          5.941010E-02              2.407619E+03 
1.800000E-02          6.291446E-02              2.546935E+03 
1.900000E-02          6.642018E-02              2.685911E+03 
2.000000E-02          6.992715E-02              2.824578E+03 
2.100000E-02          7.343553E-02              2.962891E+03 
2.200000E-02          7.694533E-02              3.100843E+03 
2.300000E-02          8.045662E-02              3.238418E+03 
2.400000E-02          8.396945E-02              3.375596E+03 
2.500000E-02          8.748387E-02              3.512369E+03 
2.600000E-02          9.099990E-02              3.648723E+03 
2.700000E-02          9.451761E-02              3.784641E+03 
2.800000E-02          9.803698E-02              3.920127E+03 
2.900000E-02          1.015581E-01              4.055156E+03 
3.000000E-02          1.050810E-01              4.189722E+03 
3.100000E-02          1.086057E-01              4.323808E+03 
3.200000E-02          1.121322E-01              4.457407E+03 
3.300000E-02          1.156607E-01              4.590488E+03 
3.400000E-02          1.191910E-01              4.723062E+03 
3.500000E-02          1.227232E-01              4.855167E+03 
3.600000E-02          1.262575E-01              4.986687E+03 
3.700000E-02          1.297939E-01              5.117642E+03 
3.800000E-02          1.333320E-01              5.248137E+03 
3.900000E-02          1.368723E-01              5.378033E+03 
4.000000E-02          1.404147E-01              5.507364E+03 
4.100000E-02          1.439591E-01              5.636148E+03 
4.200000E-02          1.475058E-01              5.764321E+03 
4.300000E-02          1.510543E-01              5.891994E+03 
4.400000E-02          1.546047E-01              6.019122E+03 
4.500000E-02          1.581584E-01              6.145358E+03 
4.600000E-02          1.617153E-01              6.270694E+03 
4.700000E-02          1.652758E-01              6.395055E+03 
4.800000E-02          1.688410E-01              6.518110E+03 
4.900000E-02          1.724102E-01              6.640065E+03 
5.000000E-02          1.759841E-01              6.760684E+03 
5.100000E-02          1.795642E-01              6.879567E+03 
5.200000E-02          1.831491E-01              6.997138E+03 
5.300000E-02          1.867393E-01              7.113228E+03 
5.400000E-02          1.903357E-01              7.227577E+03 
5.500000E-02          1.939377E-01              7.340346E+03 
5.600000E-02          1.975451E-01              7.451639E+03 
5.700000E-02          2.011584E-01              7.561295E+03 
5.800000E-02          2.047780E-01              7.669113E+03 
5.900000E-02          2.084049E-01              7.774917E+03 
6.000000E-02          2.120372E-01              7.879179E+03 
6.100000E-02          2.156749E-01              7.981951E+03 
6.200000E-02          2.193203E-01              8.082524E+03 
6.300000E-02          2.229714E-01              8.181519E+03 
6.400000E-02          2.266281E-01              8.278906E+03 
6.500000E-02          2.302911E-01              8.374554E+03 
6.600000E-02          2.339611E-01              8.468232E+03 
6.700000E-02          2.376389E-01              8.559694E+03 
6.800000E-02          2.413228E-01              8.649419E+03 
6.900000E-02          2.450126E-01              8.737475E+03 
7.000000E-02          2.487090E-01              8.823712E+03 
7.100000E-02          2.524120E-01              8.908056E+03 
7.200000E-02          2.561215E-01              8.990562E+03 
7.300000E-02          2.598366E-01              9.071507E+03 
7.400000E-02          2.635576E-01              9.150802E+03 
7.500000E-02          2.672853E-01              9.227632E+03 
7.600000E-02          2.710189E-01              9.302431E+03 
7.700000E-02          2.747581E-01              9.375732E+03 
7.800000E-02          2.785049E-01              9.446925E+03 
7.900000E-02          2.822588E-01              9.516162E+03 
8.000000E-02          2.860183E-01              9.583862E+03 
8.100000E-02          2.897867E-01              9.649137E+03 
8.200000E-02          2.935636E-01              9.712121E+03 
8.300000E-02          2.973473E-01              9.773250E+03 
8.400000E-02          3.011406E-01              9.831788E+03 
8.500000E-02          3.049403E-01              9.888628E+03 
8.600000E-02          3.087537E-01              9.941812E+03 
8.700000E-02          3.125771E-01              9.992321E+03 
8.800000E-02          3.164247E-01              1.003635E+04 
8.900000E-02          3.202973E-01              1.007373E+04 
9.000000E-02          3.241804E-01              1.010828E+04 
9.100000E-02          3.280707E-01              1.014093E+04 
9.200000E-02          3.319655E-01              1.017239E+04 
9.300000E-02          3.358653E-01              1.020252E+04 
9.400000E-02          3.397710E-01              1.023109E+04 
9.500000E-02          3.436809E-01              1.025855E+04 
9.600000E-02          3.475935E-01              1.028526E+04 
9.700000E-02          3.515093E-01              1.031116E+04 
9.800000E-02          3.554279E-01              1.033632E+04 
9.900000E-02          3.593489E-01              1.036086E+04 
1.000000E-01          3.632719E-01              1.038487E+04 
1.010000E-01          3.671972E-01              1.040830E+04 
1.020000E-01          3.711253E-01              1.043099E+04 
1.030000E-01          3.750564E-01              1.045291E+04 
1.040000E-01          3.789890E-01              1.047445E+04 
1.050000E-01          3.829242E-01              1.049534E+04 
1.060000E-01          3.868611E-01              1.051579E+04 
1.070000E-01          3.907993E-01              1.053591E+04 
1.080000E-01          3.947389E-01              1.055565E+04 
1.090000E-01          3.986803E-01              1.057498E+04 
1.100000E-01          4.026227E-01              1.059405E+04 
1.110000E-01          4.065661E-01              1.061285E+04 
1.120000E-01          4.105107E-01              1.063137E+04 
1.130000E-01          4.144564E-01              1.064961E+04 
1.140000E-01          4.184035E-01              1.066750E+04 
1.150000E-01          4.223515E-01              1.068518E+04 
