#INST  CMOD   FORCE   
1.270000E-01          4.662288E-01              9.504542E+03 
1.280000E-01          4.701810E-01              9.518040E+03 
1.290000E-01          4.741343E-01              9.531303E+03 
1.300000E-01          4.780884E-01              9.544420E+03 
1.310000E-01          4.820434E-01              9.557374E+03 
1.320000E-01          4.859995E-01              9.570087E+03 
1.330000E-01          4.899564E-01              9.582667E+03 
1.340000E-01          4.939140E-01              9.595102E+03 
1.350000E-01          4.978729E-01              9.607296E+03 
1.360000E-01          5.018325E-01              9.619346E+03 
1.370000E-01          5.057927E-01              9.631279E+03 
1.380000E-01          5.097536E-01              9.643099E+03 
1.390000E-01          5.137152E-01              9.654777E+03 
1.400000E-01          5.176775E-01              9.666310E+03 
1.410000E-01          5.216410E-01              9.677647E+03 
1.420000E-01          5.256051E-01              9.688864E+03 
1.430000E-01          5.295698E-01              9.699981E+03 
1.440000E-01          5.335350E-01              9.710994E+03 
1.450000E-01          5.375009E-01              9.721901E+03 
1.460000E-01          5.414673E-01              9.732708E+03 
1.470000E-01          5.454342E-01              9.743422E+03 
1.480000E-01          5.494016E-01              9.754043E+03 
1.490000E-01          5.533696E-01              9.764565E+03 
1.500000E-01          5.573384E-01              9.774949E+03 
1.510000E-01          5.613077E-01              9.785246E+03 
1.520000E-01          5.652777E-01              9.795415E+03 
1.530000E-01          5.692482E-01              9.805502E+03 
1.540000E-01          5.732191E-01              9.815504E+03 
1.550000E-01          5.771906E-01              9.825422E+03 
1.560000E-01          5.811625E-01              9.835260E+03 
1.570000E-01          5.851349E-01              9.845020E+03 
1.580000E-01          5.891078E-01              9.854680E+03 
1.590000E-01          5.930812E-01              9.864259E+03 
1.600000E-01          5.970551E-01              9.873761E+03 
1.610000E-01          6.010294E-01              9.883182E+03 
1.620000E-01          6.050041E-01              9.892531E+03 
1.630000E-01          6.089793E-01              9.901805E+03 
1.640000E-01          6.129549E-01              9.911003E+03 
1.650000E-01          6.169311E-01              9.920117E+03 
1.660000E-01          6.209077E-01              9.929135E+03 
1.670000E-01          6.248848E-01              9.938074E+03 
1.680000E-01          6.288626E-01              9.946902E+03 
1.690000E-01          6.328407E-01              9.955665E+03 
1.700000E-01          6.368193E-01              9.964361E+03 
1.710000E-01          6.407983E-01              9.972988E+03 
1.720000E-01          6.447777E-01              9.981543E+03 
1.730000E-01          6.487575E-01              9.990031E+03 
1.740000E-01          6.527377E-01              9.998453E+03 
1.750000E-01          6.567184E-01              1.000680E+04 
1.760000E-01          6.606994E-01              1.001508E+04 
1.770000E-01          6.646809E-01              1.002329E+04 
1.780000E-01          6.686628E-01              1.003143E+04 
1.790000E-01          6.726450E-01              1.003952E+04 
1.800000E-01          6.766277E-01              1.004754E+04 
1.810000E-01          6.806108E-01              1.005549E+04 
1.820000E-01          6.845943E-01              1.006337E+04 
1.830000E-01          6.885784E-01              1.007115E+04 
1.840000E-01          6.925631E-01              1.007883E+04 
1.850000E-01          6.965482E-01              1.008645E+04 
1.860000E-01          7.005338E-01              1.009398E+04 
1.870000E-01          7.045200E-01              1.010140E+04 
1.880000E-01          7.085067E-01              1.010875E+04 
1.890000E-01          7.124940E-01              1.011601E+04 
1.900000E-01          7.164816E-01              1.012319E+04 
1.910000E-01          7.204697E-01              1.013031E+04 
1.920000E-01          7.244584E-01              1.013730E+04 
1.930000E-01          7.284477E-01              1.014418E+04 
1.940000E-01          7.324376E-01              1.015097E+04 
1.950000E-01          7.364279E-01              1.015768E+04 
1.960000E-01          7.404189E-01              1.016429E+04 
1.970000E-01          7.444104E-01              1.017079E+04 
1.980000E-01          7.484025E-01              1.017719E+04 
1.990000E-01          7.523952E-01              1.018346E+04 
2.000000E-01          7.563886E-01              1.018961E+04 
2.010000E-01          7.603826E-01              1.019566E+04 
2.020000E-01          7.643771E-01              1.020160E+04 
2.030000E-01          7.683726E-01              1.020736E+04 
2.040000E-01          7.723693E-01              1.021287E+04 
2.050000E-01          7.763673E-01              1.021810E+04 
2.060000E-01          7.803669E-01              1.022302E+04 
2.070000E-01          7.843686E-01              1.022748E+04 
2.080000E-01          7.883726E-01              1.023144E+04 
2.090000E-01          7.923795E-01              1.023475E+04 
2.100000E-01          7.963903E-01              1.023720E+04 
2.110000E-01          8.004063E-01              1.023850E+04 
2.120000E-01          8.044295E-01              1.023812E+04 
2.130000E-01          8.084642E-01              1.023506E+04 
2.140000E-01          8.125147E-01              1.022832E+04 
2.150000E-01          8.165870E-01              1.021653E+04 
2.160000E-01          8.206898E-01              1.019768E+04 
